tool_id,tool_name,category,company,launch_year,users_millions,pricing_model,open_source
135,AI Tool 135,Image Generation,Microsoft,2022,1,Freemium,No
136,AI Tool 136,AI Agents,Google,2024,12,Paid,No
137,AI Tool 137,Image Generation,Google,2021,124,Free,No
138,AI Tool 138,Chatbots,HuggingFace,2022,198,Freemium,Yes
139,AI Tool 139,Chatbots,Amazon,2023,127,Paid,Yes
140,AI Tool 140,Video Generation,Anthropic,2025,189,Free,No
141,AI Tool 141,Voice AI,HuggingFace,2025,112,Paid,Yes
142,AI Tool 142,Productivity AI,Anthropic,2023,165,Paid,No
143,AI Tool 143,Chatbots,Adobe,2020,170,Paid,No
144,AI Tool 144,Image Generation,Microsoft,2025,93,Freemium,Yes
145,AI Tool 145,Coding AI,OpenAI,2026,129,Freemium,Yes
146,AI Tool 146,Voice AI,Adobe,2021,156,Freemium,Yes
147,AI Tool 147,LLM,Microsoft,2020,23,Free,No
148,AI Tool 148,Voice AI,Stability AI,2022,198,Freemium,No
149,AI Tool 149,Productivity AI,Amazon,2024,133,Paid,No
150,AI Tool 150,Voice AI,HuggingFace,2026,177,Free,No
151,AI Tool 151,Video Generation,Microsoft,2023,27,Free,No
152,AI Tool 152,AI Agents,Google,2024,134,Freemium,Yes
153,AI Tool 153,Coding AI,OpenAI,2020,88,Paid,No
154,AI Tool 154,Chatbots,HuggingFace,2024,19,Freemium,No
155,AI Tool 155,Image Generation,Microsoft,2026,174,Free,Yes
156,AI Tool 156,Image Generation,Google,2021,108,Paid,No
157,AI Tool 157,AI Agents,Stability AI,2020,54,Freemium,No
158,AI Tool 158,Coding AI,Adobe,2024,16,Paid,Yes
159,AI Tool 159,Image Generation,Google,2020,30,Paid,Yes
160,AI Tool 160,Productivity AI,Adobe,2025,1,Paid,Yes
161,AI Tool 161,AI Agents,HuggingFace,2020,170,Freemium,No
162,AI Tool 162,Image Generation,Amazon,2026,166,Paid,No
163,AI Tool 163,Coding AI,Adobe,2025,77,Free,Yes
164,AI Tool 164,Coding AI,Amazon,2026,24,Paid,No
165,AI Tool 165,LLM,OpenAI,2026,111,Freemium,Yes
166,AI Tool 166,Coding AI,Stability AI,2026,31,Freemium,Yes
167,AI Tool 167,Chatbots,Stability AI,2026,103,Free,Yes
168,AI Tool 168,Video Generation,OpenAI,2022,160,Free,No
169,AI Tool 169,AI Agents,Google,2022,169,Free,No
170,AI Tool 170,Productivity AI,Microsoft,2025,73,Freemium,Yes
171,AI Tool 171,Video Generation,Runway,2020,85,Free,No
172,AI Tool 172,LLM,Stability AI,2023,135,Free,Yes
173,AI Tool 173,Chatbots,Anthropic,2024,80,Paid,No
174,AI Tool 174,Video Generation,HuggingFace,2025,189,Free,Yes
175,AI Tool 175,Productivity AI,Adobe,2020,6,Freemium,Yes
176,AI Tool 176,Coding AI,Stability AI,2024,191,Freemium,Yes
177,AI Tool 177,Image Generation,Runway,2024,121,Paid,No
178,AI Tool 178,AI Agents,Amazon,2026,200,Paid,No
179,AI Tool 179,Image Generation,Microsoft,2025,101,Paid,No
180,AI Tool 180,Coding AI,Amazon,2026,51,Paid,Yes
181,AI Tool 181,AI Agents,Amazon,2022,114,Paid,Yes
182,AI Tool 182,Video Generation,Runway,2025,38,Freemium,No
183,AI Tool 183,Coding AI,HuggingFace,2023,167,Paid,Yes
184,AI Tool 184,Coding AI,Runway,2025,46,Freemium,No
185,AI Tool 185,LLM,HuggingFace,2022,114,Freemium,Yes
186,AI Tool 186,Voice AI,HuggingFace,2025,16,Free,No
187,AI Tool 187,Voice AI,Adobe,2025,85,Paid,No
188,AI Tool 188,Chatbots,HuggingFace,2023,171,Freemium,No
189,AI Tool 189,Voice AI,Adobe,2026,1,Free,Yes
190,AI Tool 190,Image Generation,Microsoft,2021,105,Paid,Yes
191,AI Tool 191,Coding AI,Amazon,2022,43,Paid,No
192,AI Tool 192,Voice AI,Amazon,2024,43,Free,Yes
193,AI Tool 193,Video Generation,OpenAI,2025,170,Paid,Yes
194,AI Tool 194,Video Generation,Anthropic,2025,27,Paid,No
195,AI Tool 195,Video Generation,Stability AI,2023,44,Freemium,No
196,AI Tool 196,Image Generation,Google,2025,145,Paid,Yes
197,AI Tool 197,Video Generation,Microsoft,2020,138,Free,Yes
198,AI Tool 198,Coding AI,Stability AI,2020,24,Paid,Yes
199,AI Tool 199,Productivity AI,HuggingFace,2025,16,Paid,No
200,AI Tool 200,AI Agents,OpenAI,2022,118,Paid,No
201,AI Tool 201,Chatbots,Anthropic,2026,160,Paid,Yes
202,AI Tool 202,LLM,Amazon,2023,196,Free,No
203,AI Tool 203,Image Generation,Meta,2026,67,Paid,No
204,AI Tool 204,Video Generation,Anthropic,2022,157,Paid,No
205,AI Tool 205,Image Generation,Adobe,2020,173,Freemium,No
206,AI Tool 206,LLM,HuggingFace,2022,8,Free,No
207,AI Tool 207,Chatbots,Anthropic,2026,99,Paid,No
208,AI Tool 208,AI Agents,Runway,2020,104,Paid,No
209,AI Tool 209,LLM,Google,2021,131,Freemium,No
210,AI Tool 210,LLM,HuggingFace,2026,110,Freemium,No
211,AI Tool 211,LLM,OpenAI,2020,3,Free,Yes
212,AI Tool 212,Voice AI,Anthropic,2024,188,Free,No
213,AI Tool 213,LLM,Google,2023,93,Paid,No
214,AI Tool 214,AI Agents,HuggingFace,2020,77,Paid,No
215,AI Tool 215,LLM,OpenAI,2024,178,Free,Yes
216,AI Tool 216,AI Agents,Anthropic,2022,77,Freemium,Yes
217,AI Tool 217,Video Generation,Stability AI,2021,77,Freemium,Yes
218,AI Tool 218,Image Generation,Amazon,2026,24,Freemium,Yes
219,AI Tool 219,LLM,Google,2023,164,Free,No
220,AI Tool 220,Coding AI,Anthropic,2025,79,Freemium,No
221,AI Tool 221,AI Agents,Meta,2020,135,Free,No
222,AI Tool 222,Productivity AI,Adobe,2021,78,Free,Yes
223,AI Tool 223,Video Generation,Anthropic,2023,100,Paid,Yes
224,AI Tool 224,Chatbots,Meta,2026,6,Free,Yes
225,AI Tool 225,LLM,HuggingFace,2025,1,Free,No
226,AI Tool 226,AI Agents,HuggingFace,2023,28,Free,No
227,AI Tool 227,Chatbots,Stability AI,2024,113,Paid,No
228,AI Tool 228,Image Generation,Runway,2024,35,Freemium,Yes
229,AI Tool 229,AI Agents,Anthropic,2024,111,Free,No
230,AI Tool 230,Voice AI,Meta,2020,87,Paid,No
231,AI Tool 231,Image Generation,Meta,2022,194,Free,No
232,AI Tool 232,AI Agents,Amazon,2023,121,Freemium,Yes
233,AI Tool 233,Video Generation,Stability AI,2022,171,Paid,Yes
234,AI Tool 234,LLM,Stability AI,2022,119,Freemium,No
235,AI Tool 235,Productivity AI,Anthropic,2024,81,Paid,Yes
236,AI Tool 236,Chatbots,OpenAI,2024,183,Free,No
237,AI Tool 237,Productivity AI,Amazon,2022,32,Free,Yes
238,AI Tool 238,Image Generation,Stability AI,2020,19,Paid,Yes
239,AI Tool 239,Image Generation,Runway,2024,83,Freemium,Yes
240,AI Tool 240,Video Generation,Runway,2025,6,Paid,Yes
241,AI Tool 241,Image Generation,Google,2022,104,Freemium,No
242,AI Tool 242,LLM,OpenAI,2020,14,Free,Yes
243,AI Tool 243,Image Generation,Microsoft,2023,187,Freemium,No
244,AI Tool 244,Productivity AI,Amazon,2021,158,Free,No
245,AI Tool 245,LLM,Microsoft,2024,111,Free,Yes
246,AI Tool 246,Productivity AI,Anthropic,2025,29,Freemium,No
247,AI Tool 247,Voice AI,Anthropic,2022,72,Freemium,No
248,AI Tool 248,Video Generation,HuggingFace,2025,170,Free,Yes
249,AI Tool 249,LLM,Meta,2026,39,Free,Yes
250,AI Tool 250,Video Generation,Microsoft,2023,46,Free,Yes
251,AI Tool 251,Chatbots,Microsoft,2022,86,Paid,No
252,AI Tool 252,Chatbots,Amazon,2026,119,Freemium,No
253,AI Tool 253,Coding AI,HuggingFace,2026,142,Free,No
254,AI Tool 254,Productivity AI,Stability AI,2021,48,Free,No
255,AI Tool 255,Productivity AI,HuggingFace,2020,171,Free,Yes
256,AI Tool 256,Image Generation,Meta,2025,65,Paid,No
257,AI Tool 257,Coding AI,Microsoft,2021,183,Free,Yes
258,AI Tool 258,LLM,Runway,2023,94,Paid,No
259,AI Tool 259,Productivity AI,Meta,2021,65,Freemium,No
260,AI Tool 260,Image Generation,HuggingFace,2021,69,Freemium,Yes
261,AI Tool 261,Chatbots,Meta,2024,167,Freemium,No
262,AI Tool 262,Productivity AI,HuggingFace,2025,193,Free,No
263,AI Tool 263,Image Generation,OpenAI,2026,183,Freemium,Yes
264,AI Tool 264,Productivity AI,Adobe,2022,77,Free,No
265,AI Tool 265,Video Generation,Microsoft,2021,145,Paid,Yes
266,AI Tool 266,Productivity AI,Google,2020,178,Freemium,Yes
267,AI Tool 267,Voice AI,Runway,2020,86,Free,Yes
268,AI Tool 268,Productivity AI,Stability AI,2020,15,Freemium,No
269,AI Tool 269,Video Generation,HuggingFace,2026,155,Paid,No
270,AI Tool 270,Voice AI,Amazon,2025,190,Freemium,Yes
271,AI Tool 271,Coding AI,Microsoft,2025,76,Freemium,No
272,AI Tool 272,Video Generation,HuggingFace,2023,85,Paid,Yes
273,AI Tool 273,AI Agents,Anthropic,2024,182,Free,Yes
274,AI Tool 274,AI Agents,HuggingFace,2020,60,Freemium,No
275,AI Tool 275,Image Generation,Stability AI,2020,62,Freemium,No
276,AI Tool 276,Image Generation,Microsoft,2025,189,Freemium,Yes
277,AI Tool 277,Video Generation,Runway,2020,41,Paid,No
278,AI Tool 278,LLM,Amazon,2020,31,Free,Yes
279,AI Tool 279,Chatbots,Google,2022,193,Paid,Yes
280,AI Tool 280,Video Generation,Runway,2026,141,Freemium,Yes
281,AI Tool 281,AI Agents,Google,2023,71,Paid,Yes
282,AI Tool 282,AI Agents,Meta,2026,14,Free,No
283,AI Tool 283,Video Generation,HuggingFace,2025,168,Freemium,No
284,AI Tool 284,Productivity AI,Microsoft,2026,110,Free,Yes
285,AI Tool 285,Image Generation,Runway,2026,82,Paid,Yes
286,AI Tool 286,Voice AI,Amazon,2021,36,Paid,Yes
287,AI Tool 287,Image Generation,Stability AI,2020,131,Freemium,No
288,AI Tool 288,Voice AI,OpenAI,2024,188,Paid,No
289,AI Tool 289,Voice AI,OpenAI,2022,47,Freemium,Yes
290,AI Tool 290,Coding AI,OpenAI,2022,174,Paid,No
291,AI Tool 291,Chatbots,Amazon,2022,52,Paid,Yes
292,AI Tool 292,Chatbots,HuggingFace,2024,185,Freemium,No
293,AI Tool 293,Productivity AI,Stability AI,2025,78,Freemium,Yes
294,AI Tool 294,Voice AI,Anthropic,2022,16,Free,Yes
295,AI Tool 295,Chatbots,Google,2025,106,Freemium,No
296,AI Tool 296,Voice AI,OpenAI,2023,131,Free,No
297,AI Tool 297,Coding AI,Meta,2023,14,Paid,Yes
298,AI Tool 298,Video Generation,Adobe,2022,134,Freemium,No
299,AI Tool 299,Coding AI,HuggingFace,2024,1,Paid,Yes
300,AI Tool 300,Video Generation,Runway,2020,143,Freemium,Yes
301,AI Tool 301,AI Agents,HuggingFace,2022,14,Paid,Yes
302,AI Tool 302,Coding AI,Google,2022,144,Freemium,Yes
303,AI Tool 303,Image Generation,Microsoft,2021,174,Free,No
304,AI Tool 304,LLM,Anthropic,2021,110,Freemium,Yes
305,AI Tool 305,LLM,Microsoft,2026,90,Free,No
306,AI Tool 306,Chatbots,Anthropic,2026,25,Free,No
307,AI Tool 307,Image Generation,Microsoft,2023,196,Free,No
308,AI Tool 308,Coding AI,Anthropic,2025,200,Paid,No
309,AI Tool 309,Chatbots,Adobe,2020,158,Free,No
310,AI Tool 310,AI Agents,Microsoft,2026,151,Paid,Yes
311,AI Tool 311,Chatbots,Microsoft,2023,86,Paid,No
312,AI Tool 312,AI Agents,Anthropic,2024,85,Freemium,Yes
313,AI Tool 313,Coding AI,Adobe,2026,128,Paid,No
314,AI Tool 314,Productivity AI,Meta,2026,186,Paid,Yes
315,AI Tool 315,Video Generation,Adobe,2023,62,Freemium,No
316,AI Tool 316,LLM,Amazon,2021,69,Free,No
317,AI Tool 317,Video Generation,Runway,2026,55,Free,Yes
318,AI Tool 318,Coding AI,Runway,2026,69,Paid,No
319,AI Tool 319,Productivity AI,Adobe,2022,85,Paid,Yes
320,AI Tool 320,AI Agents,Anthropic,2024,106,Freemium,Yes
321,AI Tool 321,Chatbots,Google,2021,182,Freemium,No
322,AI Tool 322,LLM,Anthropic,2025,38,Freemium,No
323,AI Tool 323,Productivity AI,Google,2024,143,Free,No
324,AI Tool 324,Productivity AI,OpenAI,2025,196,Paid,No
325,AI Tool 325,Productivity AI,Meta,2021,182,Paid,Yes
326,AI Tool 326,Chatbots,Stability AI,2026,122,Paid,No
327,AI Tool 327,Voice AI,Anthropic,2021,26,Paid,No
328,AI Tool 328,Chatbots,Runway,2026,96,Freemium,No
329,AI Tool 329,Coding AI,Adobe,2020,132,Freemium,Yes
330,AI Tool 330,Coding AI,Runway,2022,82,Paid,No
331,AI Tool 331,Image Generation,Runway,2020,20,Freemium,No
332,AI Tool 332,Image Generation,Adobe,2020,52,Freemium,No
333,AI Tool 333,Image Generation,Stability AI,2023,89,Free,Yes
334,AI Tool 334,LLM,Microsoft,2022,143,Free,No
335,AI Tool 335,LLM,Stability AI,2020,183,Freemium,Yes
336,AI Tool 336,AI Agents,Amazon,2021,165,Free,No
337,AI Tool 337,Coding AI,OpenAI,2024,59,Free,Yes
338,AI Tool 338,Video Generation,Google,2021,36,Paid,No
339,AI Tool 339,Voice AI,HuggingFace,2022,130,Free,No
340,AI Tool 340,LLM,Amazon,2025,132,Free,No
341,AI Tool 341,Video Generation,Stability AI,2025,126,Free,Yes
342,AI Tool 342,Productivity AI,Amazon,2025,1,Free,Yes
343,AI Tool 343,AI Agents,Stability AI,2023,11,Paid,Yes
344,AI Tool 344,AI Agents,OpenAI,2026,104,Freemium,Yes
345,AI Tool 345,Chatbots,Anthropic,2026,141,Free,No
346,AI Tool 346,Productivity AI,Google,2022,89,Paid,No
347,AI Tool 347,Chatbots,Microsoft,2023,57,Free,No
348,AI Tool 348,Image Generation,Adobe,2020,172,Free,No
349,AI Tool 349,Coding AI,Google,2026,51,Freemium,Yes
350,AI Tool 350,Coding AI,HuggingFace,2024,120,Freemium,No
351,AI Tool 351,Chatbots,Amazon,2022,64,Paid,No
352,AI Tool 352,LLM,HuggingFace,2022,63,Free,No
353,AI Tool 353,Image Generation,HuggingFace,2026,90,Free,Yes
354,AI Tool 354,Voice AI,Stability AI,2022,82,Freemium,No
355,AI Tool 355,Image Generation,OpenAI,2022,178,Freemium,No
356,AI Tool 356,Video Generation,Meta,2022,26,Paid,Yes
357,AI Tool 357,Video Generation,OpenAI,2020,14,Paid,No
358,AI Tool 358,Chatbots,Runway,2022,37,Paid,No
359,AI Tool 359,Productivity AI,Adobe,2023,171,Free,No
360,AI Tool 360,Coding AI,Adobe,2020,56,Paid,No
361,AI Tool 361,Video Generation,Meta,2021,138,Freemium,Yes
362,AI Tool 362,Image Generation,Runway,2020,147,Free,No
363,AI Tool 363,Image Generation,Adobe,2025,127,Freemium,Yes
364,AI Tool 364,Video Generation,Adobe,2022,163,Paid,Yes
365,AI Tool 365,LLM,OpenAI,2020,54,Free,Yes
366,AI Tool 366,Voice AI,OpenAI,2021,110,Freemium,No
367,AI Tool 367,Image Generation,Microsoft,2022,48,Free,No
368,AI Tool 368,LLM,Amazon,2021,22,Free,Yes
369,AI Tool 369,AI Agents,Meta,2020,188,Freemium,No
370,AI Tool 370,Coding AI,Microsoft,2020,128,Free,Yes
371,AI Tool 371,Coding AI,Stability AI,2025,121,Paid,No
372,AI Tool 372,AI Agents,Runway,2025,65,Freemium,Yes
373,AI Tool 373,LLM,Google,2020,166,Freemium,No
374,AI Tool 374,Coding AI,Stability AI,2024,89,Freemium,No
375,AI Tool 375,Chatbots,Runway,2020,118,Freemium,No
376,AI Tool 376,Chatbots,Anthropic,2024,56,Freemium,No
377,AI Tool 377,Coding AI,Microsoft,2022,190,Free,No
378,AI Tool 378,LLM,OpenAI,2026,77,Free,Yes
379,AI Tool 379,Coding AI,HuggingFace,2025,172,Freemium,No
380,AI Tool 380,AI Agents,Runway,2021,13,Paid,Yes
381,AI Tool 381,Chatbots,Microsoft,2020,44,Paid,Yes
382,AI Tool 382,LLM,Adobe,2022,27,Free,No
383,AI Tool 383,Coding AI,Microsoft,2026,166,Free,No
384,AI Tool 384,Coding AI,Adobe,2024,181,Paid,Yes
385,AI Tool 385,LLM,Runway,2020,85,Freemium,Yes
386,AI Tool 386,Coding AI,Runway,2024,196,Paid,Yes
387,AI Tool 387,Video Generation,Microsoft,2024,42,Freemium,No
388,AI Tool 388,Chatbots,Amazon,2021,179,Freemium,No
389,AI Tool 389,AI Agents,Adobe,2026,48,Paid,No
390,AI Tool 390,Voice AI,Anthropic,2023,24,Free,No
391,AI Tool 391,Voice AI,Stability AI,2024,17,Free,Yes
392,AI Tool 392,Image Generation,Google,2021,169,Paid,No
393,AI Tool 393,Productivity AI,Adobe,2025,40,Paid,No
394,AI Tool 394,Productivity AI,OpenAI,2024,33,Paid,No
395,AI Tool 395,Coding AI,Meta,2022,66,Free,Yes
396,AI Tool 396,AI Agents,Stability AI,2026,171,Free,No
397,AI Tool 397,AI Agents,Google,2024,61,Free,Yes
398,AI Tool 398,Video Generation,OpenAI,2024,116,Paid,No
399,AI Tool 399,Voice AI,OpenAI,2025,40,Freemium,Yes
400,AI Tool 400,LLM,Microsoft,2020,165,Free,Yes
401,AI Tool 401,Image Generation,Stability AI,2025,22,Freemium,No
402,AI Tool 402,Voice AI,Microsoft,2026,126,Free,Yes
403,AI Tool 403,Image Generation,Stability AI,2024,128,Paid,No
404,AI Tool 404,Voice AI,Microsoft,2020,52,Free,No
405,AI Tool 405,Productivity AI,OpenAI,2025,90,Free,Yes
406,AI Tool 406,Video Generation,OpenAI,2024,52,Paid,Yes
407,AI Tool 407,Productivity AI,Meta,2024,148,Freemium,Yes
408,AI Tool 408,Productivity AI,Microsoft,2020,133,Paid,Yes
409,AI Tool 409,Voice AI,Runway,2021,78,Paid,No
410,AI Tool 410,AI Agents,OpenAI,2025,178,Paid,Yes
411,AI Tool 411,Video Generation,Google,2024,171,Free,Yes
412,AI Tool 412,Video Generation,Adobe,2025,129,Paid,Yes
413,AI Tool 413,Voice AI,Amazon,2025,178,Free,No
414,AI Tool 414,Coding AI,OpenAI,2022,195,Freemium,No
415,AI Tool 415,Video Generation,Amazon,2022,70,Free,Yes
416,AI Tool 416,Image Generation,Adobe,2024,67,Paid,Yes
417,AI Tool 417,Video Generation,Google,2023,96,Free,Yes
418,AI Tool 418,Chatbots,Stability AI,2020,79,Free,Yes
419,AI Tool 419,Chatbots,Runway,2023,52,Paid,Yes
420,AI Tool 420,LLM,OpenAI,2026,76,Free,No
421,AI Tool 421,LLM,Meta,2022,42,Free,No
